city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
梧州市,small,5.979525147,11.9896091,8.23488625,0.562873889,0.894765408,0.420682431,7.317710056,0.732755926,1088.36,285.618068,0,4.142958249,4.552269269,small,6.010083953
楚雄彝族自治州,small,6.074281958,13.02736595,7.708677642,0.632948609,1.659703679,0.128334225,7.411444497,0.765677012,1372.16,244.2293246,0,3.985248425,4.588052241,small,6.953083992
武威市,small,3.964937814,13.18609865,9.033915648,0.782115916,0.32,0.239050247,10.64875557,0.582583897,524.6,147.577903,0,3.524449058,3.005206983,small,9.221160836
汕尾市,small,3.696793752,8.636574739,7.440640247,0.597284717,1.725474009,0.430562463,8.404850796,0.244739638,1112.63,276.7887736,0,4.43548432,4.499568967,small,4.939780987
池州市,small,3.098805125,12.89046085,9.178491694,0.669736335,1.443923775,0.349111861,15.12620717,0.729509833,853.1,134.8024612,22.5,3.732175371,3.94233097,small,9.791655725
济源市,small,6.431144019,16.1231035,9.230222516,0.721369943,0.854318441,0.579396899,6.18412866,0.966138917,691.35,73.6007464,0,2.923827626,3.186849402,small,9.691959481
海北藏族自治州,small,0.35207682,2.028144726,5.503991243,0.432665379,1.80015621,0.12351678,0.611112341,0.2231567,95.09,27.063206,0,2.021788385,1.900659634,small,1.676067906
海西蒙古族藏族自治州,small,2.06965793,5.91681868,6.647210377,0.616375525,0.662330825,0.697044642,5.689032182,1.540914368,619.81,47.99211601,0,2.076285678,2.095312629,small,3.84716075
淮北市,small,7.945570675,16.82998454,9.476685656,0.571273815,7.631493855,0.455539291,18.23185135,1.096822951,1119.07,199.0425419,22.5,4.323518318,4.248479587,small,8.884413865
淮南市,small,8.699060592,15.49134909,8.49777402,0.640480867,3.306361632,0.783070626,13.200437,0.825052834,1305.69,304.9943813,0,4.025780402,4.062370445,small,6.792288498
澄迈县,small,0.298806033,4.126121537,6.481135711,0.544740536,2.623703369,0.329617039,0.133343352,0.39999999,348.36,49.66723946,0,4.04642153,3.823756513,small,3.827315504
焦作市,small,8.249817352,15.18421546,8.057372791,0.634076892,4.747317381,0.682343144,9.295157098,1.043545166,2025.26,356.6282104,45,3.036087397,3.299594337,small,6.934398108
牡丹江市,small,9.61128152,16.24240347,7.620165024,0.623218714,3.160216752,0.816528068,6.769174553,1.04724515,826.81,228.8536611,0,3.398301855,3.427326098,small,6.63112195
玉溪市,small,7.148654834,15.29458731,7.965904449,0.609789432,6.437096401,0.585808542,11.45045435,0.951248845,2058.14,227.8786072,22.5,3.360638622,3.90366677,small,8.145932476
珠海市,small,8.194498916,21.21454353,17.02467866,0.874043735,4.481319659,0.484768836,16.71879719,1.562617881,3518.26,247.4465182,0,5.138557658,5.376691939,small,13.02004461
琼中黎族苗族自治县,small,0.427037271,3.474653795,6.213972645,0.531853202,1.625379945,0.111241532,8.613255621,0.12977838,59.01,18.18685905,0,3.774718508,3.864026644,small,3.047616524
琼海市,small,1.851082843,9.432878639,8.155671574,0.627669784,0.601283081,0.171278503,6.230869643,0.432421941,292.1,52.91508851,0,4.56260322,4.71072978,small,7.581795796
甘南藏族自治州,small,1.635443849,4.768960302,6.687937576,0.457544475,0.391362379,0.102132178,4.893079946,0.148360508,218.16,70.63847917,0,2.199474432,2.338782224,small,3.133516453
白城市,small,4.913654697,14.61296976,9.047219474,0.721014284,5.296390295,0.471988487,12.66044925,0.99989582,507.37,155.3989819,22.5,4.604651914,4.525840909,small,9.699315063
白山市,small,4.77962855,9.621773057,6.77570187,0.523639852,3.803673813,0.362226006,4.36366734,0.336952087,509.42,96.19759808,0,2.904112477,3.137063817,small,4.842144507
白沙黎族自治县,small,0.317106508,2.988611342,5.826923602,0.787011626,3.465813593,0.661279073,5.002615583,0.663381573,56.85,16.64099071,22.5,3.443945539,3.323828243,small,2.671504834
盘锦市,small,5.840030326,16.5364769,10.3144075,0.797129315,2.121732385,0.37803503,14.60422467,1.124029004,1303.56,140.9713715,0,4.58394199,4.909342882,small,10.69644657
眉山市,small,6.381205331,19.14155204,11.23377032,0.859221584,6.860327363,0.505727445,16.88073751,1.333666201,1403,296.3379816,22.5,2.241544837,2.506295554,small,12.76034671
石嘴山市,small,4.929533409,10.11980998,7.166446999,0.613766495,1.789743029,0.442015139,3.757790313,0.382269564,541.62,76.0423293,22.5,4.439116154,4.086645848,small,5.190276571
