city_name,year,R,R的平方,p值,RMSE,样本数量
延安市,2010,0.6205,0.385,1.961400e-04,0.3589,31.0
延安市,2020,0.9641,0.9294,1.177400e-17,0.0861,30.0
延边朝鲜族自治州,2010,0.8309,0.6904,2.413000e-08,0.1748,29.0
延边朝鲜族自治州,2020,0.986,0.9721,2.611100e-23,0.0564,30.0
开封市,2010,0.9947,0.9894,3.281500e-30,0.0214,31.0
开封市,2020,0.988,0.9762,2.783800e-24,0.0371,30.0
张家口市,2010,0.8549,0.7309,3.536600e-09,0.2594,29.0
张家口市,2020,0.8747,0.7651,5.527200e-10,0.2866,29.0
张家界市,2010,0.7485,0.5602,3.025600e-06,0.4098,29.0
张家界市,2020,0.6225,0.3876,3.105400e-04,0.4834,29.0
张掖市,2010,0.7169,0.514,8.302100e-06,0.1387,30.0
张掖市,2020,0.3734,0.1395,3.852000e-02,0.1641,31.0
徐州市,2010,0.9631,0.9276,4.470500e-18,0.0747,31.0
徐州市,2020,0.9396,0.8828,1.457700e-14,0.0544,30.0
德宏傣族景颇族自治州,2010,0.847,0.7175,3.599000e-09,0.6478,30.0
德宏傣族景颇族自治州,2020,0.7723,0.5965,3.585300e-07,0.7586,31.0
德州市,2010,0.9863,0.9728,1.160200e-22,0.031,29.0
德州市,2020,0.9976,0.9953,6.093800e-33,0.0096,29.0
德阳市,2010,0.5664,0.3209,8.937900e-04,0.0347,31.0
德阳市,2020,0.9534,0.909,1.408600e-15,0.0192,29.0
忻州市,2010,0.9886,0.9773,6.469400e-23,0.221,28.0
忻州市,2020,0.971,0.9428,2.647700e-18,0.342,29.0
怀化市,2010,0.5769,0.3328,6.811000e-04,0.9392,31.0
怀化市,2020,0.6568,0.4313,6.000400e-05,0.8762,31.0
怒江傈僳族自治州,2010,0.5816,0.3383,5.993000e-04,2.953,31.0
怒江傈僳族自治州,2020,0.9431,0.8895,1.955300e-14,1.1739,29.0
恩施土家族苗族自治州,2010,0.6376,0.4065,1.143600e-04,0.9401,31.0
恩施土家族苗族自治州,2020,0.7828,0.6127,1.953900e-07,0.7417,31.0
惠州市,2010,0.7479,0.5594,1.322600e-06,0.1607,31.0
惠州市,2020,0.9491,0.9007,1.475000e-14,0.0798,28.0
成都市,2010,0.8809,0.776,1.345600e-10,0.023,30.0
成都市,2020,0.9893,0.9787,5.825100e-25,0.0108,30.0
扬州市,2010,0.8514,0.725,1.267400e-09,0.0479,31.0
扬州市,2020,0.9606,0.9227,1.541400e-16,0.0212,29.0
承德市,2010,0.4742,0.2249,7.032900e-03,0.3857,31.0
承德市,2020,0.9328,0.87,6.251700e-14,0.1342,30.0
抚州市,2010,0.9301,0.8651,2.922600e-13,0.0336,29.0
抚州市,2020,0.945,0.8931,3.879300e-14,0.0323,28.0
抚顺市,2010,0.9251,0.8557,1.014700e-13,0.1425,31.0
抚顺市,2020,0.9518,0.906,1.998500e-16,0.154,31.0
拉萨市,2010,0.6947,0.4826,2.899100e-05,1.0234,29.0
拉萨市,2020,0.7537,0.568,1.526800e-06,0.933,30.0
揭阳市,2010,0.5694,0.3242,8.283200e-04,0.1372,31.0
揭阳市,2020,0.7811,0.6101,2.160400e-07,0.1639,31.0
攀枝花市,2010,0.8985,0.8073,1.606700e-11,0.3134,30.0
攀枝花市,2020,0.8478,0.7188,3.368800e-09,0.4006,30.0
文山壮族苗族自治州,2010,0.3985,0.1588,2.637200e-02,0.4247,31.0
文山壮族苗族自治州,2020,0.731,0.5343,3.011300e-06,0.3239,31.0
文昌市,2010,0.1905,0.0363,4.639400e-01,0.2831,17.0
文昌市,2020,0.5928,0.3515,1.213900e-02,0.1403,17.0
新乡市,2010,0.871,0.7587,7.973700e-10,0.0952,29.0
新乡市,2020,0.9745,0.9496,1.056400e-19,0.0635,30.0
新余市,2010,0.8942,0.7995,1.237000e-11,0.0672,31.0
新余市,2020,0.9276,0.8604,6.300200e-14,0.0691,31.0
新星市,2010,,0.0,nan,0.1397,30.0
新星市,2020,0.252,0.0635,1.791200e-01,0.1847,30.0
无锡市,2010,0.9785,0.9574,9.752500e-21,0.045,30.0
无锡市,2020,0.9896,0.9793,1.969500e-23,0.0274,28.0
