city_name,year,R,R的平方,p值,RMSE,样本数量
文昌市,2020,0.54,0.2916,1.397300e-02,0.0459,20.0
新乡市,2010,0.7979,0.6366,7.643300e-08,0.0571,31.0
新乡市,2020,0.9292,0.8634,4.600100e-14,0.0628,31.0
新余市,2010,0.9576,0.9169,4.082600e-16,0.0863,29.0
新余市,2020,0.9405,0.8846,1.177200e-14,0.1231,30.0
新星市,2010,0.0495,0.0025,7.913300e-01,0.5018,31.0
新星市,2020,-0.0498,0.0025,7.902100e-01,0.4572,31.0
无锡市,2010,0.9509,0.9042,2.594700e-16,0.0835,31.0
无锡市,2020,0.9453,0.8936,3.761200e-15,0.076,30.0
日喀则市,2010,0.5083,0.2583,3.507000e-03,1.2887,31.0
日喀则市,2020,0.5628,0.3168,9.802800e-04,1.3148,31.0
日照市,2010,0.946,0.895,1.140300e-04,0.0529,9.0
日照市,2020,0.9618,0.925,3.464700e-05,0.0384,9.0
昆明市,2010,0.8157,0.6653,2.266900e-08,0.4163,31.0
昆明市,2020,0.9321,0.8689,1.996800e-13,0.2562,29.0
昆玉市,2010,-0.1792,0.0321,3.432600e-01,0.3226,30.0
昆玉市,2020,0.0069,0.0,9.716000e-01,0.3051,29.0
昌吉回族自治州,2010,0.8805,0.7753,6.553200e-11,0.2407,31.0
昌吉回族自治州,2020,0.759,0.5761,7.457900e-07,0.4049,31.0
昌江黎族自治县,2010,0.5818,0.3385,9.310500e-04,1.116,29.0
昌江黎族自治县,2020,0.615,0.3782,3.848300e-04,1.1473,29.0
昌都市,2010,0.6001,0.3601,4.562300e-04,2.1772,30.0
昌都市,2020,,0.0,nan,2.7759,31.0
昭通市,2010,0.0263,0.0007,8.882300e-01,0.4453,31.0
昭通市,2020,0.4395,0.1931,1.337800e-02,0.5643,31.0
晋中市,2010,0.6678,0.446,5.527800e-05,0.5571,30.0
晋中市,2020,0.7631,0.5823,5.980300e-07,0.5543,31.0
晋城市,2010,0.4982,0.2482,4.337900e-03,0.5817,31.0
晋城市,2020,0.6812,0.4641,2.459700e-05,0.4898,31.0
普洱市,2010,0.223,0.0497,2.278200e-01,0.439,31.0
普洱市,2020,0.5504,0.303,1.334800e-03,0.3212,31.0
景德镇市,2010,0.4672,0.2183,8.051200e-03,0.3556,31.0
景德镇市,2020,0.5824,0.3392,5.869600e-04,0.3779,31.0
曲靖市,2010,0.6937,0.4813,1.507600e-05,0.4954,31.0
曲靖市,2020,0.8411,0.7075,5.896700e-09,0.4576,30.0
